| Product ID | Product Name            | Description                                       | Price | Category          | Halal Certificate |
| P122       | Whole Grain Bagels      | Wholesome whole grain bagels for breakfast.       | $3.49 | Bakery            | No                |
| P123       | Turkey Bacon            | Lean and flavorful turkey bacon strips.           | $4.99 | Meat & Poultry    | No                |
| P124       | Gluten-Free Pasta        | Gluten-free pasta for those with dietary restrictions. | $3.99 | Pasta & Grains    | No                |
| P125       | Almond Milk             | Dairy-free almond milk for a plant-based diet.    | $2.79 | Dairy & Eggs      | No                |
| P126       | Halal Chicken Wings     | Halal-certified chicken wings for parties.        | $8.99 | Meat & Poultry    | Yes               |
| P127       | Mixed Fruit Jam         | Delicious mixed fruit jam for your toast.         | $1.99 | Condiments & Oils | No                |
| P128       | Halal Beef Jerky         | Halal-certified beef jerky for snacks on the go.  | $5.49 | Snacks            | Yes               |
| P129       | Quinoa Salad            | Ready-to-eat quinoa salad with fresh vegetables. | $4.49 | Ready Meals       | No                |
| P130       | Coconut Water           | Refreshing coconut water, natural electrolytes.  | $2.49 | Beverages         | No                |
| P131       | Halal Chicken Shawarma  | Halal-certified chicken shawarma for wraps.       | $7.49 | Deli & Prepared Foods | Yes             |
| P132       | Granola Bars            | Nutritious granola bars for a quick snack.        | $3.29 | Snacks            | No                |
| P133       | Halal Lamb Kebabs        | Halal-certified lamb kebabs for grilling.        | $10.99 | Meat & Poultry   | Yes               |
| P134       | Vegetable Spring Rolls  | Frozen vegetable spring rolls for appetizers.     | $4.99 | Frozen Foods      | No                |
| P135       | Halal Chicken Curry     | Ready-to-eat halal chicken curry.                | $6.99 | Ready Meals       | Yes               |
| P136       | Green Tea               | Organic green tea for a calming beverage.         | $2.19 | Beverages         | No                |
| P137       | Halal Beef Burgers      | Juicy halal-certified beef burgers.               | $7.49 | Meat & Poultry    | Yes               |
| P138       | Organic Honey           | Pure organic honey, a natural sweetener.          | $5.99 | Condiments & Oils | No                |
| P139       | Halal Chicken Tenders   | Halal-certified chicken tenders for kids.        | $4.99 | Frozen Foods      | Yes               |
| P140       | Dark Chocolate          | Premium dark chocolate bars for indulgence.       | $3.99 | Snacks            | No                |
| P141       | Sweet Oranges           | Juicy and sweet oranges for a healthy snack.     | $1.99 | Fruits & Vegetables | No                |
| P142       | Multigrain Baguette     | Crispy multigrain baguette for sandwiches.       | $2.49 | Bakery            | No                |
| P143       | Salmon Fillets          | Fresh salmon fillets, perfect for grilling.      | $12.99 | Seafood           | No                |
| P144       | Organic Brown Eggs      | Organic brown eggs from free-range hens.         | $3.99 | Dairy & Eggs      | No                |
| P145       | Quinoa & Kale Salad     | Nutrient-packed quinoa and kale salad.           | $4.99 | Ready Meals       | No                |
| P146       | Pineapple Juice         | Refreshing pineapple juice, 100% natural.       | $2.99 | Beverages         | No                |
| P147       | Halal Lamb Rack         | Halal-certified lamb rack for roasting.         | $15.99 | Meat & Poultry    | Yes               |
| P148       | Chia Seed Pudding       | Chia seed pudding with assorted flavors.        | $3.49 | Dairy & Eggs      | No                |
| P149       | Mixed Nuts              | Assorted mixed nuts for a crunchy snack.        | $5.99 | Snacks            | No                |
| P150       | Sweet Corn               | Fresh sweet corn, perfect for grilling.         | $0.99 | Fruits & Vegetables | No                |
| P151       | Halal Chicken Bacon     | Halal-certified chicken bacon strips.          | $6.49 | Meat & Poultry    | Yes               |
| P152       | Black Bean Pasta        | Black bean pasta, a nutritious alternative.     | $3.79 | Pasta & Grains    | No                |
| P153       | Blueberry Yogurt        | Creamy blueberry yogurt with probiotics.       | $2.49 | Dairy & Eggs      | No                |
| P154       | Halal Turkey Burgers    | Juicy halal-certified turkey burgers.         | $7.99 | Meat & Poultry    | Yes               |
| P155       | Frozen Pizza Margherita | Classic frozen margherita pizza.               | $4.99 | Frozen Foods      | No                |
| P156       | Almond Flour            | Finely ground almond flour for baking.         | $8.99 | Pasta & Grains    | No                |
| P157       | Mango Sorbet            | Refreshing mango sorbet for dessert.           | $3.99 | Frozen Foods      | No                |
| P158       | Halal Chicken Burgers   | Halal-certified chicken burgers for grilling.  | $6.49 | Meat & Poultry    | Yes               |
| P159       | Whole Grain Crackers    | Healthy whole grain crackers for snacking.     | $2.79 | Snacks            | No                |
| P160       | Halal Chicken Kebabs    | Marinated halal chicken kebabs for BBQ.       | $8.49 | Meat & Poultry    | Yes               |
| P161       | Mango Tango Juice        | Exotic mango tango juice blend.               | $2.49 | Beverages         | No                |
| P162       | Halal Chicken Drumsticks| Halal-certified chicken drumsticks.          | $9.99 | Meat & Poultry    | Yes               |
| P163       | Coconut Milk            | Rich and creamy coconut milk for cooking.     | $1.79 | Dairy & Eggs      | No                |
| P164       | Halal Lamb Stew         | Ready-to-cook halal lamb stew.               | $11.99 | Ready Meals       | Yes               |
| P165       | Mixed Berry Smoothie     | Frozen mixed berry smoothie blend.               | $4.99 | Beverages         | No                |
| P166       | Halal Chicken Hot Dogs  | Halal-certified chicken hot dogs.                | $5.99 | Meat & Poultry    | Yes               |
| P167       | Organic Almond Butter   | Creamy organic almond butter.                    | $7.99 | Condiments & Oils | No                |
| P168       | Veggie Burgers           | Plant-based veggie burgers for a meatless option.| $5.49 | Meat & Poultry    | No                |
| P169       | Mango Tango Juice        | Exotic mango tango juice blend.                 | $2.49 | Beverages         | No                |
| P170       | Halal Chicken Drumsticks| Halal-certified chicken drumsticks.              | $9.99 | Meat & Poultry    | Yes               |
| P171       | Organic Kale             | Fresh organic kale, rich in vitamins.           | $2.49 | Fruits & Vegetables | No                |
| P172       | Whole Wheat Tortillas    | Whole wheat tortillas for wraps and burritos.   | $3.99 | Bakery            | No                |
| P173       | Shrimp Scampi           | Shrimp scampi with garlic and lemon.           | $14.99 | Seafood           | No                |
| P174       | Free-Range Chicken Eggs  | Free-range chicken eggs from local farms.       | $4.49 | Dairy & Eggs      | No                |
| P175       | Mediterranean Quinoa    | Mediterranean-style quinoa with olives and feta.| $5.49 | Ready Meals       | No                |
| P176       | Orange Juice            | Freshly squeezed orange juice.                 | $3.49 | Beverages         | No                |
| P177       | Halal Lamb Leg          | Halal-certified lamb leg for roasting.         | $17.99 | Meat & Poultry    | Yes               |
| P178       | Acai Berry Bowl         | Acai berry bowl with granola and fruit.       | $6.99 | Breakfast         | No                |
| P179       | Trail Mix               | Energy-boosting trail mix with nuts and dried fruit.| $4.99 | Snacks          | No                |
| P180       | Baby Carrots            | Fresh baby carrots, perfect for snacking.     | $1.29 | Fruits & Vegetables | No                |
| P181       | Halal Chicken Sausage   | Halal-certified chicken sausage links.        | $5.49 | Meat & Poultry    | Yes               |
| P182       | Lentil Pasta            | Lentil-based pasta for a protein-packed meal. | $3.99 | Pasta & Grains    | No                |
| P183       | Strawberry Yogurt       | Creamy strawberry yogurt with real fruit pieces.| $2.49 | Dairy & Eggs      | No                |
| P184       | Bison Burgers           | Lean and flavorful bison burgers.             | $9.99 | Meat & Poultry    | No                |
| P185       | Margherita Pizza        | Classic margherita pizza with fresh mozzarella.| $6.99 | Frozen Foods      | No                |
| P186       | Coconut Flour           | Gluten-free coconut flour for baking.         | $5.99 | Pasta & Grains    | No                |
| P187       | Raspberry Sorbet        | Tart and refreshing raspberry sorbet.         | $3.99 | Frozen Foods      | No                |
| P188       | Halal Chicken Wings     | Halal-certified chicken wings for snacking.   | $8.99 | Meat & Poultry    | Yes               |
| P189       | Maple Syrup             | Pure maple syrup, perfect for pancakes.       | $7.49 | Condiments & Oils | No                |
| P190       | Chicken Alfredo Pasta    | Ready-to-eat chicken alfredo pasta.           | $5.99 | Ready Meals       | No                |
| P191       | Green Smoothie          | Healthy green smoothie with kale and spinach. | $4.49 | Beverages         | No                |
| P192       | Halal Beef Ribs         | Halal-certified beef ribs for BBQ.           | $13.99 | Meat & Poultry    | Yes               |
| P193       | Peanut Butter           | Creamy peanut butter, a classic spread.      | $3.99 | Condiments & Oils | No                |
| P194       | Veggie Pizza            | Vegetarian pizza with a variety of veggies.  | $7.99 | Frozen Foods      | No                |
| P195       | Turmeric Powder         | Ground turmeric powder for cooking and health.| $2.49 | Condiments & Oils | No                |
| P196       | Lemon Sorbet            | Zesty lemon sorbet for a palate cleanser.    | $3.99 | Frozen Foods      | No                |
| P197       | Halal Chicken Strips    | Halal-certified chicken strips for salads.   | $6.49 | Meat & Poultry    | Yes               |
| P198       | Honey Mustard           | Tangy honey mustard for dipping and dressing.| $1.99 | Condiments & Oils | No                |
| P199       | Chicken Fajita Bowl     | Ready-to-eat chicken fajita bowl.            | $6.99 | Ready Meals       | No                |
| P200       | Matcha Green Tea        | Premium matcha green tea powder.             | $8.99 | Beverages         | No                |

...

| P981       | Avocado Toast           | Avocado toast with cherry tomatoes.           | $5.49 | Breakfast         | No                |
| P982       | Buffalo Cauliflower Bites| Spicy buffalo cauliflower bites.              | $4.99 | Snacks            | No                |
| P983       | Halal Chicken Quesadilla | Halal-certified chicken quesadilla.          | $7.99 | Frozen Foods      | Yes               |
| P984       | Coconut Curry Sauce      | Rich coconut curry sauce for cooking.        | $3.99 | Condiments & Oils | No                |
| P985       | Halal Chicken Enchiladas | Halal-certified chicken enchiladas.         | $8.49 | Frozen Foods      | Yes               |
| P986       | Mango Lassi              | Refreshing mango lassi drink.                | $2.99 | Beverages         | No                |
| P987       | Halal Beef Stroganoff     | Ready-to-eat halal beef stroganoff.         | $6.99 | Ready Meals       | Yes               |
| P988       | Sweet Potato Fries        | Crispy sweet potato fries.                   | $3.49 | Frozen Foods      | No                |
| P989       | Honey Glazed Salmon       | Honey glazed salmon fillets.                | $11.99 | Seafood           | No                |
| P990       | Chocolate Protein Bars    | Chocolate-flavored protein bars.            | $2.79 | Snacks            | No                |
| P991       | Halal Chicken Alfredo     | Ready-to-eat halal chicken alfredo.         | $5.99 | Ready Meals       | Yes               |
| P992       | Mediterranean Hummus      | Traditional Mediterranean hummus.          | $4.49 | Snacks            | No                |
| P993       | Halal Chicken Fajitas     | Halal-certified chicken fajitas.            | $7.99 | Frozen Foods      | Yes               |
| P994       | Truffle Infused Olive Oil | Truffle-infused extra virgin olive oil.    | $9.99 | Condiments & Oils | No                |
| P995       | Shrimp Stir-Fry           | Shrimp stir-fry with vegetables.            | $13.99 | Seafood           | No                |
| P996       | Organic Chia Seeds        | Organic chia seeds for a healthy diet.     | $3.29 | Snacks            | No                |
| P997       | Halal Chicken Biryani     | Ready-to-eat halal chicken biryani.        | $8.49 | Ready Meals       | Yes               |
| P998       | Artisanal Sourdough Bread | Handcrafted artisanal sourdough bread.      | $6.99 | Bakery            | No                |
| P999       | Lemon Poppy Seed Muffins  | Freshly baked lemon poppy seed muffins.    | $3.99 | Bakery            | No                |
| P1000      | Matcha Chia Pudding       | Matcha-flavored chia seed pudding.         | $4.49 | Dairy & Eggs      | No                |
| P1001      | Fresh Bananas      | Sweet and ripe bananas from local farms.        | $1.29 | Fruits & Vegetables | No                |
| P1002      | Juicy Oranges      | Juicy and tangy oranges, packed with Vitamin C.| $1.99 | Fruits & Vegetables | No                |
| P1003      | Sweet Strawberries | Plump and sweet strawberries for a delightful treat.| $2.49 | Fruits & Vegetables | No                |
| P1004      | Tropical Pineapple  | Fresh and tropical pineapple, perfect for snacking.| $2.99 | Fruits & Vegetables | No                |
| P1005      | Ripe Mangoes        | Ripe and succulent mangoes, a tropical delight. | $3.49 | Fruits & Vegetables | No                |
| P1006      | Crisp Apples        | Crisp and refreshing apples for a healthy snack.| $1.79 | Fruits & Vegetables | No                |
| P1007      | Seedless Grapes     | Seedless grapes, perfect for a quick energy boost.| $3.99 | Fruits & Vegetables | No                |
| P1008      | Zesty Lemons        | Zesty lemons for cooking, baking, and beverages. | $1.49 | Fruits & Vegetables | No                |
| P1009      | Fresh Kiwi          | Fresh and vibrant kiwi, rich in antioxidants.    | $0.99 | Fruits & Vegetables | No                |
| P1010      | Exotic Dragon Fruit  | Exotic dragon fruit with a sweet and mild flavor.| $4.99 | Fruits & Vegetables | No                |
| ...        | ...                | ...                                            | ...   | ...                 | ...               |
| P1090      | Organic Blueberries | Organic blueberries, packed with antioxidants.  | $5.99 | Fruits & Vegetables | No                |
| P1091      | Honeycrisp Apples   | Honeycrisp apples, known for their sweetness.  | $2.29 | Fruits & Vegetables | No                |
| P1092      | Red Plums           | Juicy and red plums, great for snacking.       | $2.79 | Fruits & Vegetables | No                |
| P1093      | Golden Pineapple    | Golden pineapple with a tropical and sweet taste.| $3.99 | Fruits & Vegetables | No                |
| P1094      | Organic Strawberries| Organically grown strawberries for a healthy choice.| $3.49 | Fruits & Vegetables | No                |
| P1095      | Granny Smith Apples | Tart and crisp Granny Smith apples.            | $1.99 | Fruits & Vegetables | No                |
| P1096      | Blackberries        | Fresh blackberries, perfect for desserts.      | $4.49 | Fruits & Vegetables | No                |
| P1097      | White Peaches       | Sweet and juicy white peaches.                 | $2.99 | Fruits & Vegetables | No                |
| P1098      | Blood Oranges       | Blood oranges with a unique and citrusy flavor.| $2.79 | Fruits & Vegetables | No                |
| IC001      | Vanilla Bean Ice Cream       | Classic vanilla bean ice cream with real vanilla. | $4.99 | Frozen Desserts | No                |
| IC002      | Chocolate Fudge Brownie      | Rich chocolate ice cream with fudge brownie chunks.| $5.49 | Frozen Desserts | No                |
| IC003      | Strawberry Swirl             | Sweet strawberry ice cream with a swirl of sauce.  | $4.79 | Frozen Desserts | No                |
| IC004      | Mint Chocolate Chip          | Refreshing mint ice cream with chocolate chips.    | $4.99 | Frozen Desserts | No                |
| IC005      | Caramel Pecan Delight        | Creamy caramel ice cream with pecan pieces.        | $6.49 | Frozen Desserts | No                |
| IC006      | Cookies and Cream            | Vanilla ice cream with cookie pieces.              | $4.99 | Frozen Desserts | No                |
| IC007      | Rocky Road                   | Chocolate ice cream with marshmallows and nuts.    | $5.99 | Frozen Desserts | No                |
| IC008      | Coffee Crunch                | Coffee-flavored ice cream with crunchy bits.       | $5.29 | Frozen Desserts | No                |
| IC009      | Tropical Sorbet              | Refreshing sorbet with tropical fruit flavors.     | $4.49 | Frozen Desserts | No                |
| IC010      | Peanut Butter Paradise       | Peanut butter ice cream with swirls of chocolate.  | $6.99 | Frozen Desserts | No                |
| ...        | ...                          | ...                                              | ...   | ...            | ...               |
| IC990      | Blueberry Cheesecake         | Creamy cheesecake-flavored ice cream with blueberries.| $7.49 | Frozen Desserts | No                |
| IC991      | Coconut Almond Bliss         | Coconut-flavored ice cream with almond pieces.     | $5.99 | Frozen Desserts | No                |
| IC992      | Pistachio Perfection         | Pistachio-flavored ice cream for nut lovers.       | $6.79 | Frozen Desserts | No                |
| IC993      | Chocolate Hazelnut Delight   | Rich chocolate hazelnut ice cream.                | $5.99 | Frozen Desserts | No                |
| IC994      | Raspberry Ripple             | Raspberry-flavored ice cream with swirls of sauce. | $4.79 | Frozen Desserts | No                |
| IC995      | Maple Walnut                 | Maple-flavored ice cream with walnut pieces.       | $6.49 | Frozen Desserts | No                |
| IC996      | Lemon Sorbet                 | Zesty lemon sorbet for a refreshing treat.        | $4.29 | Frozen Desserts | No                |
| IC997      | Salted Caramel Indulgence    | Indulgent salted caramel ice cream.               | $7.99 | Frozen Desserts | No                |
| IC998      | Birthday Cake Celebration    | Celebration-worthy birthday cake-flavored ice cream.| $6.99 | Frozen Desserts | No                |
| IC999      | Matcha Green Tea Delight     | Matcha-flavored ice cream with a delicate taste.   | $5.49 | Frozen Desserts | No                |
| IC1000     | Double Chocolate Decadence   | Decadent double chocolate ice cream.              | $6.99 | Frozen Desserts | No                |
| P1099      | Organic Raspberries | Organic raspberries for a burst of flavor.     | $3.99 | Fruits & Vegetables | No                |
| P1100      | Passion Fruit       | Tropical passion fruit with a sweet and tangy taste.| $4.99 | Fruits & Vegetables | No                |
| V1         | Fresh Tomatoes          | Plump and juicy vine-ripened tomatoes.              | $1.99 | Fruits & Vegetables | No                |
| V2         | Organic Carrots         | Organic, crisp and sweet carrots.                   | $2.49 | Fruits & Vegetables | No                |
| V3         | Spinach Leaves          | Tender, nutrient-packed spinach leaves.             | $1.79 | Fruits & Vegetables | No                |
| V4         | Bell Peppers            | Colorful bell peppers for vibrant recipes.          | $2.99 | Fruits & Vegetables | No                |
| V5         | Cucumber                | Crisp and refreshing cucumbers.                    | $1.29 | Fruits & Vegetables | No                |
| V6         | Broccoli Florets        | Fresh broccoli florets, perfect for stir-fries.     | $2.99 | Fruits & Vegetables | No                |
| V7         | Zucchini                | Versatile zucchini for grilling or sautéing.       | $1.49 | Fruits & Vegetables | No                |
| V8         | Cherry Tomatoes         | Sweet and bite-sized cherry tomatoes.               | $2.79 | Fruits & Vegetables | No                |
| V9         | Kale                    | Nutrient-rich kale, great for salads and smoothies. | $1.99 | Fruits & Vegetables | No                |
| V10        | Avocado                 | Creamy avocados, perfect for guacamole.            | $1.99 | Fruits & Vegetables | No                |
| V11        | Cauliflower             | Fresh cauliflower heads for roasting or mashing.   | $3.49 | Fruits & Vegetables | No                |
| V12        | Eggplant                | Versatile eggplant for grilling or baking.         | $1.79 | Fruits & Vegetables | No                |
| V13        | Red Bell Peppers        | Sweet and vibrant red bell peppers.                 | $2.99 | Fruits & Vegetables | No                |
| V14        | Romaine Lettuce         | Crisp and fresh Romaine lettuce.                   | $1.99 | Fruits & Vegetables | No                |
| V15        | Green Peas              | Sweet and tender green peas for various dishes.    | $2.49 | Fruits & Vegetables | No                |
| V16        | Butternut Squash        | Rich and sweet butternut squash.                   | $2.49 | Fruits & Vegetables | No                |
| V17        | Radicchio               | Bitter and colorful radicchio for salads.          | $2.99 | Fruits & Vegetables | No                |
| V18        | Yellow Squash           | Mild and tender yellow squash.                     | $1.69 | Fruits & Vegetables | No                |
| V19        | Portobello Mushrooms    | Meaty and flavorful Portobello mushrooms.          | $3.99 | Fruits & Vegetables | No                |
| V20        | Green Onions            | Mild and crisp green onions for garnish.           | $1.29 | Fruits & Vegetables | No                |
| ...        | ...                     | ...                                                | ...   | ...                | ...               |
| V981       | Watermelon              | Juicy and refreshing watermelon slices.            | $4.99 | Fruits & Vegetables | No                |
| V982       | Yellow Bell Peppers     | Vibrant yellow bell peppers for salads.            | $2.99 | Fruits & Vegetables | No                |
| V983       | Acorn Squash            | Sweet and nutty acorn squash.                      | $2.99 | Fruits & Vegetables | No                |
| V984       | Asparagus               | Fresh asparagus spears, great for grilling.        | $3.99 | Fruits & Vegetables | No                |
| V985       | Artichoke Hearts        | Tender artichoke hearts, perfect for salads.       | $4.49 | Fruits & Vegetables | No                |
| V986       | Radishes                | Crisp and peppery radishes for salads.             | $1.29 | Fruits & Vegetables | No                |
| V987       | Snow Peas               | Sweet and crunchy snow peas for stir-fries.        | $2.99 | Fruits & Vegetables | No                |
| V988       | Butternut Squash        | Rich and sweet butternut squash.                   | $2.49 | Fruits & Vegetables | No                |
| V989       | Brussels Sprouts        | Nutty and flavorful Brussels sprouts.             | $2.79 | Fruits & Vegetables | No                |
| V990       | Red Onions              | Sweet and vibrant red onions for cooking.          | $1.99 | Fruits & Vegetables | No                |
| V991       | Sweet Potatoes          | Nutrient-dense sweet potatoes for various dishes.  | $1.79 | Fruits & Vegetables | No                |
| V992       | Asparagus               | Fresh asparagus spears, great for grilling.        | $3.99 | Fruits & Vegetables | No                |
| V993       | Artichoke Hearts        | Tender artichoke hearts, perfect for salads.       | $4.49 | Fruits & Vegetables | No                |
| V994       | Radishes                | Crisp and peppery radishes for salads.             | $1.29 | Fruits & Vegetables | No                |
| V995       | Snow Peas               | Sweet and crunchy snow peas for stir-fries.        | $2.99 | Fruits & Vegetables | No                |
| V996       | Butternut Squash        | Rich and sweet butternut squash.                   | $2.49 | Fruits & Vegetables | No                |
| V997       | Brussels Sprouts        | Nutty and flavorful Brussels sprouts.             | $2.79 | Fruits & Vegetables | No                |
| V998       | Red Onions              | Sweet and vibrant red onions for cooking.          | $1.99 | Fruits & Vegetables | No                |
| V999       | Yellow Bell Peppers     | Vibrant yellow bell peppers for salads.            | $2.99 | Fruits & Vegetables | No                |
| V1000      | Green Beans             | Crisp and tender green beans for various dishes.   | $2.49 | Fruits & Vegetables | No                |
| P1001      | French Baguette             | Crispy on the outside, soft on the inside.         | $2.99 | Bakery   | No                |
| P1002      | Blueberry Muffins           | Freshly baked muffins bursting with blueberries.  | $1.49 | Bakery   | No                |
| P1003      | Cinnamon Rolls              | Swirled with cinnamon and topped with icing.      | $3.99 | Bakery   | No                |
| P1004      | Artisan Sourdough Loaf      | Handcrafted sourdough loaf with a rustic crust.    | $4.99 | Bakery   | No                |
| P1005      | Chocolate Croissants        | Flaky croissants filled with rich chocolate.      | $2.49 | Bakery   | No                |
| P1006      | Apple Danish Pastry         | Delicate pastry filled with sweet apple filling.  | $2.79 | Bakery   | No                |
| P1007      | Multigrain Bread            | Healthy and hearty bread with a mix of grains.    | $3.29 | Bakery   | No                |
| P1008      | Raspberry Danish            | Flaky pastry with a burst of raspberry goodness.  | $2.79 | Bakery   | No                |
| P1009      | Pecan Pie                   | Classic pecan pie with a buttery crust.           | $8.99 | Bakery   | No                |
| P1010      | Bagels                      | Assorted bagels for a perfect breakfast.          | $1.99 | Bakery   | No                |
| P1011      | Chocolate Chip Cookies      | Irresistible cookies loaded with chocolate chips.| $4.49 | Bakery   | No                |
| P1012      | Sourdough Baguette          | A tangy twist on the classic baguette.           | $3.49 | Bakery   | No                |
| P1013      | Danish Almond Pastry        | Almond-flavored pastry with a sweet glaze.       | $2.99 | Bakery   | No                |
| P1014      | Whole Wheat Scones          | Wholesome scones made with whole wheat flour.    | $2.19 | Bakery   | No                |
| P1015      | Cherry Pie                  | Fresh cherry pie with a flaky crust.             | $7.99 | Bakery   | No                |
| P1016      | Rye Bread                   | Dense and flavorful rye bread for sandwiches.    | $3.99 | Bakery   | No                |
| P1017      | Lemon Tart                  | Tangy lemon filling in a buttery tart shell.     | $4.29 | Bakery   | No                |
| P1018      | Pretzel Buns                | Soft and chewy pretzel buns for burgers.         | $2.49 | Bakery   | No                |
| P1019      | Pumpkin Spice Muffins       | Muffins with the warm flavors of pumpkin spice.  | $1.79 | Bakery   | No                |
| P1020      | Apple Cinnamon Bread        | A delightful blend of apples and cinnamon.       | $3.99 | Bakery   | No                |
| ...        | ...                         | ...                                               | ...   | ...      | ...               |
| P1100      | Almond Croissant            | Flaky croissant filled with almond paste.        | $2.99 | Bakery   | No                |
| P1001      | Organic Chicken Breast   | Certified organic, skinless chicken breasts.      | $7.99 | Meat & Poultry  | No                |
| P1002      | Grass-Fed Ground Beef    | Lean and flavorful ground beef, grass-fed.       | $9.99 | Meat & Poultry  | No                |
| P1003      | Halal Chicken Thighs     | Halal-certified chicken thighs, bone-in.         | $6.49 | Meat & Poultry  | Yes               |
| P1004      | Smoked Turkey Breast     | Deli-sliced smoked turkey breast.                | $8.99 | Meat & Poultry  | No                |
| P1005      | Angus Beef Ribeye Steak  | Premium Angus beef ribeye steak for grilling.    | $14.99 | Meat & Poultry | No                |
| P1006      | Ground Turkey            | Lean ground turkey for healthy recipes.          | $5.99 | Meat & Poultry  | No                |
| P1007      | Halal Lamb Shoulder      | Halal-certified lamb shoulder for roasting.     | $11.99 | Meat & Poultry | Yes               |
| P1008      | Chicken Drumsticks       | Fresh chicken drumsticks, perfect for BBQ.      | $3.99 | Meat & Poultry  | No                |
| P1009      | Italian Sausage Links    | Flavorful Italian sausage links for cooking.    | $4.49 | Meat & Poultry  | No                |
| P1010      | Whole Roast Chicken      | Whole roasted chicken, seasoned to perfection.  | $9.99 | Meat & Poultry | No                |
| P1011      | Halal Chicken Wings      | Halal-certified chicken wings for snacking.     | $8.99 | Meat & Poultry | Yes               |
| P1012      | Pork Chops               | Thick-cut pork chops for grilling.              | $10.99 | Meat & Poultry | No                |
| P1013      | Ground Chicken           | Ground chicken, versatile for various dishes.   | $6.49 | Meat & Poultry  | No                |
| P1014      | Turkey Bacon             | Smoked turkey bacon strips for a lean option.   | $4.99 | Meat & Poultry  | No                |
| P1015      | Halal Chicken Tenders    | Halal-certified chicken tenders for appetizers. | $7.49 | Meat & Poultry | Yes               |
| P1016      | Lamb Kebabs              | Marinated lamb kebabs for grilling.             | $12.99 | Meat & Poultry | No                |
| P1017      | Chicken Sausage Patties  | Chicken sausage patties for breakfast.          | $3.99 | Meat & Poultry  | No                |
| P1018      | Smoked Ham               | Premium smoked ham slices for sandwiches.      | $5.99 | Meat & Poultry  | No                |
| P1019      | Halal Beef Brisket       | Halal-certified beef brisket for slow cooking. | $15.99 | Meat & Poultry | Yes               |
| P1020      | Bacon-Wrapped Chicken     | Chicken breasts wrapped in savory bacon.       | $9.99 | Meat & Poultry | No                |
| P1021      | Turkey Meatballs         | Lean turkey meatballs for various dishes.      | $7.99 | Meat & Poultry  | No                |
| P1022      | Rotisserie Turkey        | Pre-cooked rotisserie-style turkey.            | $13.99 | Meat & Poultry | No                |
| P1023      | Halal Chicken Burgers    | Halal-certified chicken burgers for grilling.  | $6.49 | Meat & Poultry | Yes               |
| P1024      | Pork Ribs                | Finger-licking pork ribs for BBQ.              | $12.99 | Meat & Poultry | No                |
| P1025      | Ground Lamb              | Premium ground lamb for savory dishes.         | $11.99 | Meat & Poultry | No                |
| P1026      | Chicken Breakfast Sausage| Chicken breakfast sausage links for breakfast. | $4.99 | Meat & Poultry  | No                |
| P1027      | Honey Glazed Ham         | Honey glazed ham for holiday feasts.           | $14.99 | Meat & Poultry | No                |
